"uopid","name","wkt","typeCode","tafTap"
"DE00DGF","Gutenfürst","POINT(11.960854 50.419209)","10","DE14216"
"DE0NSMT","Schweinfurt Mitte","POINT(10.22882 50.040198)","70","DE19580"
"DE00RMW","Mannheim-Waldhof","POINT(8.482885 49.525629)","10","DE16771"
"DE00KBE","Bedburg (Erft)","POINT(6.572726 50.987464)","10","DE10717"
"DE00KGN","Gremberg Nord","POINT(7.019324 50.91384)","10","DE13943"
"DE00KRE","Remagen","POINT(7.229757 50.577213)","10","DE18771"
"DE0SHIH","Hirschhorn (Pfalz)","POINT(7.681029 49.515536)","70","DE14933"
"DE0RGRZ","Grenzach","POINT(7.659725 47.550905)","10","DE13951"
"DE0RKHG","Karlsruhe West DB/KVVH","POINT(8.353284 49.011319)","120","DE15383"
"DE0SKTS","Kattenes","POINT(7.439157 50.254297)","70","DE15445"
"DE00UBH","Benshausen","POINT(10.602119 50.656982)","70","DE10777"
"DE000NT","Thüngen (Unterfr)","POINT(9.854549 49.93979)","10","DE20265"
"DE0RAPK","Appenweier Kurve","POINT(7.962861 48.54399)","10","DE10266"
"DE00NLU","Luhe","POINT(12.139501 49.579954)","70","DE16618"
"DE0NSTN","Steinach (b Rothenburg o d Tauber)","POINT(10.273601 49.453224)","10","DE19938"
"DE00FWI","Weiterstadt","POINT(8.579341 49.909667)","10","DE20948"
"DE0TSTE","Stetten-Beinstein","POINT(9.352036 48.811842)","70","DE19992"
"DE00ALH","Lindholm","POINT(8.877047 54.75507)","10","DE16403"
"DE00WLO","Löwenberg (Mark)","POINT(13.189935 52.896829)","10","DE16496"
"DE00TEZ","Enzberg","POINT(8.799607 48.933686)","70","DE12907"
"DE000WA","Angermünde","POINT(13.996266 53.015258)","10","DE10236"
"DE00MWM","Westerham","POINT(11.828566 47.903861)","10","DE21050"
"DE0RRST","Rohrbach (Pfalz)","POINT(8.141244 49.137561)","70","DE18963"
"DE00LLC","Leipzig-Connewitz","POINT(12.3904 51.307159)","10","DE16245"
"DE00WLD","Lalendorf","POINT(12.386334 53.755006)","10","DE15995"
"DE00DRO","Röderau","POINT(13.317656 51.331317)","10","DE18935"
"DE0RKPD","Kapellen-Drusweiler","POINT(8.03075 49.105628)","70","DE15362"
"DE0RHCH","Hemsbach","POINT(8.648675 49.590537)","10","DE14760"
"DE00UIW","Ilmenau-Wolfsberg","POINT(10.997611 50.685808)","10","DE15204"
"DE00ULB","Lobenstein (Thür)","POINT(11.642063 50.452096)","10","DE16429"
"DE00FKH","Kassel-Harleshausen","POINT(9.452144 51.3324)","70","DE15432"
"DE00FST","Staffel","POINT(8.046165 50.39938)","10","DE19902"
"DE00LHB","Halberstadt","POINT(11.07351 51.899346)","10","DE14301"
"DE00MWI","Wilzhofen","POINT(11.182002 47.87361)","10","DE21183"
"DE000DM","Dresden Mitte","POINT(13.72449 51.056105)","10","DE12455"
"DE0UOFM","Obstfelderschmiede","POINT(11.133792 50.603639)","70","DE18035"
"DE000NN","Nürnberg Hbf","POINT(11.082317 49.445372)","10","DE17845"
"DE0RWCH","Wachenheim (Pfalz)","POINT(8.191156 49.43927)","70","DE20665"
"DE00LLS","Leipzig-Schönefeld","POINT(12.439494 51.355374)","10","DE16272"
"DE0SROA","Rodalben","POINT(7.631742 49.239227)","70","DE18925"
"DE00BGO","Golßen (Niederlausitz)","POINT(13.574618 51.974266)","10","DE13826"
"DE0RLUE","Lützelsachsen","POINT(8.649203 49.527034)","70","DE16614"
"DE00DGB","Großenhain Berl Bf","POINT(13.520196 51.295973)","10","DE14059"
"DE00FFL","Ludwigsau-Friedlos","POINT(9.743316 50.896959)","70","DE16512"
"DE00WKH","Karlshagen","POINT(13.832676 54.115863)","70","DE15373"
"DE00BWT","Berlin Wuhletal","POINT(13.574642 52.512461)","10","DE10965"
"DE0RBAN","Blankenloch","POINT(8.464659 49.06635)","10","DE11331"
"DE0WALW","Altenwillershagen","POINT(12.57277 54.259349)","10","DE10191"
"DE00MLB","Langenbach (Oberbay)","POINT(11.852971 48.438096)","10","DE16044"
"DE00UDN","Dietzhausen","POINT(10.596912 50.599386)","10","DE12203"
"DE000MS","München Süd","POINT(11.553139 48.121981)","10","DE17264"
"DE00BLF","Ludwigsfelde","POINT(13.267175 52.297675)","10","DE16521"
"DE00LWU","Wulfen (Anh)","POINT(11.921825 51.818933)","70","DE21361"
"DE00BEO","Eichow","POINT(14.128984 51.744464)","10","DE12756"
"DE0RSNA","Steinach (Baden)","POINT(8.056521 48.298852)","70","DE19940"
"DE00TNU","Nürtingen","POINT(9.342656 48.628066)","10","DE17887"
"DE00LGW","Markkleeberg-Gaschwitz","POINT(12.379166 51.2501)","10","DE13570"
"DE0UTHG","Themar DB-Grenze","POINT(10.62102 50.503595)","120","DE20255"
"DE00DWX","Weixdorf","POINT(13.806637 51.150461)","70","DE20951"
"DE00MGF","Grafrath","POINT(11.153283 48.132145)","10","DE13910"
"DE0WPSW","Plüschow","POINT(11.286032 53.8371)","70","DE18427"
"DE00ANB","Niebüll","POINT(8.83491 54.789534)","10","DE17675"
"DE000DD","Dresden-Dobritz","POINT(13.808618 51.011774)","70","DE12461"
"DE00TSF","Schorndorf","POINT(9.526487 48.807108)","10","DE19497"
"DE000HI","Ibbenbüren","POINT(7.721517 52.276873)","10","DE15171"
"DE00AKS","Hamburg Königstraße","POINT(9.944018 53.547893)","70","DE14402"
"DE00TZU","Züttlingen","POINT(9.329323 49.291657)","10","DE21534"
"DE0WVEG","Velgast DB-Grenze","POINT(12.787543 54.279083)","120","DE20577"
"DE00NSS","Selb Stadt","POINT(12.126194 50.174242)","70","DE19683"
"DE00LZS","Zschortau","POINT(12.361441 51.483296)","70","DE21528"
"DE00UBB","Bad Berka","POINT(11.281476 50.896001)","10","DE10404"
"DE00DDT","Demitz-Thumitz","POINT(14.24106 51.141813)","70","DE12131"
"DE00LCW","Coswig (Anh)","POINT(12.457851 51.88808)","70","DE11988"
"DE00TMO","Mochenwangen","POINT(9.638022 47.872775)","10","DE17082"
"DE0RHEB","Baden-Baden Haueneberstein","POINT(8.208989 48.811866)","70","DE10582"
"DE0UWAL","Wallhausen (Helme)","POINT(11.204219 51.461937)","70","DE20737"
"DE00MMT","München-Mittersendling","POINT(11.536346 48.107402)","10","DE17294"
"DE00TWT","Wertheim","POINT(9.513215 49.761867)","10","DE21031"
"DE0NOBE","Ottenhofen-Bergel","POINT(10.356125 49.455847)","70","DE18210"
"DE0RRZM","Rheinzabern Rappengasse","POINT(8.273213 49.114327)","70","DE18851"
"DE0RASH","Asselheim","POINT(8.16078 49.576033)","70","DE10316"
"DE00TFI","Fichtenberg","POINT(9.700894 48.987427)","10","DE13186"
"DE0TOBZ","Oberzell","POINT(9.574389 47.751636)","70","DE18031"
"DE0NNLH","Nürnberg-Laufamholz","POINT(11.168643 49.462927)","70","DE17874"
