"solId","startUopid","endUopid","length"
"0531210b97e5ade81ab229e4d859f13463ffe6e3","DE00TTB","DE0TTBN",2100.0
"053b8b1ebd228a31b5215d296d8c9d826338bdee","DE0KSTP","DE96264",500.0
"054879c8f1a02a70e27b22392b9a58d1349d61b0","DE0EHGN","DE0EHER",1600.0
"054890753f6297e42f40f570cd2b13aaa816f9f6","DE0MERG","DE0MMNG",4100.0
"055d3d69f85dd160b169e0f1c7eb3f0bd398f600","DE00RRN","DE0REIW",3700.0
"055d4e3801ff33af95421aa1fc9f28121532718e","DE000RM","DE00RHK",20900.0
"0560d7e20e16ab493eeb1c8d9ae2dbdd761bea55","DE00NBK","DE0NMRH",6000.0
"05646822e159ceaf651a466fd4a60884753948c1","DE0MBAI","DE0MBAK",900.0
"0574ab5fc15f52003dc7f2fe3401dda6e490476b","DE0RLSM","DE96870",1500.0
"057c67ca386c10a123a8b162f61759ff809dce9f","DE0KNEH","DE0KBLH",6600.0
"057d36cc702862899e86c1c04d5db3c26485acb5","DE96583","DE00SEG",800.0
"0586f5905d4f63d16b7a01a756c6e2ab6be70fd7","DE0RUWA","DE97172",2600.0
"058790c10b4fc15a39e37a9223f22ffac08dc1d6","DE00NRH","DE0NHUE",2700.0
"058ad00a3db71c85fddfeb676dbd4d378b28ef8f","DE96143","DE96097",3800.0
"058dc17159cccf3d13c3ba6338380653f1e9d52d","DE97861","DE97879",500.0
"05aaafe9c4a71cd06aa823224e676a8a87592a4b","DE0KKPO","DE0KKBH",2400.0
"05b97a64f14556fc43d483436b35d65ba2c93d34","DE0FBTG","DE0FALD",2800.0
"05c0d235f7eccc953ff8932d175a7d6c59bf43ac","DE97975","DE00NDG",700.0
"05c7c110c62fdbe6ac563247151d95de944fc879","DE0SDLS","DE00SDL",1700.0
"05d0dcaeabb718c481bcb62ed3c77a41adb636c1","DE0TKEH","DE0TFFL",2200.0
"05e1742201af4cae4a5a870225b28e1a4b2ea3e6","DE0FLOR","DE0FLON",2800.0
"05e37bdb9bac68001360cc421882f8620e249d74","DE0ASAH","DE0ASAG",800.0
"05e38d3cf340822a5e0d5f780d5185f92ec50528","DE0RBMT","DE00RKF",1100.0
"05e9130f7af3530400bf4549d051461a101930d7","DE00RKT","DE000TV",23000.0
"05fabcebdd97fc4c41ed3e3c6a2e0defc0a2a212","DE0EEKU","DE0EEKH",500.0
"0606739c590e8c38ed91ee7a200391bb6f6d5534","DE000RG","DE00RSI",5600.0
"060d03b809926afab1ce3dc6d52d8ab2020e59de","DE95940","DE95495",2800.0
"060dd90c4769a5c76b307ca2bfe85e4e8762f5cd","DE95984","DE00KPW",6300.0
"061206909aedeb5e9628daab198507e1eccc28f3","DE00KEU","DE96297",500.0
"06124f0fa4ebf1fe3ded00771d61854c92da967f","DE0EDKH","DE0EDTP",1600.0
"0613e95c9d11c6196ffa410d0d756824cf17a184","DE00NAS","DE98004",7100.0
"0620a68939b078d9c569c724d67c7c4ff8a4503b","DE0EBKB","DE0EAWN",5500.0
"06382141144caf1c7c47bf5806fb934c07ed61de","DE0NWBF","DE97660",2600.0
"0649bf6d4201384adfa8da305719740f720994e6","DE0FKWO","DE0FMMB",3500.0
"066098f5852fb52de03a53e89a74f7a98915cf22","DE00SSH","DE96654",1200.0
"06724479786e6ee346af03dc25b33456583b1d82","DE0NOBS","DE0NMSN",2000.0
"067bcd48037f156437f490645d9aad0a8a1d7ca6","DE0MBRU","DE0MSHN",8000.0
"0680a1b7e74038891d9275b89da9344acf19c331","DE96793","DE0RFHM",100.0
"069332449ec12ac4776532bc8a537e22e50d32ff","DE0NRSL","DE000NH",3000.0
"069bc54a4ec7a885b96a098ac49821e943632401","DE0FLBG","DE0FOBH",6900.0
"069d5357131aa1faa443b9edec3fde3d00474c46","DE97836","DE0MGOI",1000.0
"069ea8d399f3abd8955c0cced05b670bc50d423d","DE0NARG","DE00NFW",4900.0
"06a41350ec27e4d1352dc1951b133502d2964e67","DE00TTM","DE00TBM",3400.0
"06b367235e9a790ececf9de848d2cadb67964b65","DE97870","DE0MAOZ",1600.0
"06b84539e21d0cb73645d2ae493e86c581a10e8e","DE96467","DE0EBRU",300.0
"06d4c7b3bb7d7663642f3decddd8f78657195010","DE00MLL","DE0MASL",12100.0
"06d5e679d16fda87e39fd0ca84f1cb7b9fbb87d1","DE00KLD","DE96131",600.0
"06e0175a6e263187e4dee1da55935ce48938f95a","DE0EDRH","DE95929",3400.0
"06e79ab74a83af0878e92456cbe1451c01470858","DE0TSNA","DE00TFE",3700.0
"06fabefc0ce1a727832396b14fa7faab718fcdab","DE0FFBS","DE0FFBK",1000.0
"0704bd5750f2e3043984c2191f9488526dcf6222","DE00MKA","DE00MMP",700.0
"07074783791bad696ed3d21c8da90c830d547236","DE00NLS","DE00NNE",3600.0
"070d98b85faebd49ee10e9e063c98383ff4ace52","DE97870","DE0MPGO",900.0
"0714a3466d9c234f41b9a6b0d723d18d4605b3c1","DE0MFHD","DE0MJET",4700.0
"0719c593427ca7f99e541665b1ca294241454890","DE0HHKF","DE0HLIG",5600.0
"072975764cc73c2fa3e5d5072bd1daaa1e183e00","DE97474","DE97473",9500.0
"072eb10ae7c0a925ef4dca0484e0e7b571123eeb","DE0FMAN","DE0FWGA",2300.0
"072edd54255b89313f3c190000fd461cfdca6490","DE97236","DE00RMR",400.0
"0739b4fbe43c5bf406d7bef667da2048bd272a02","DE00FOM","DE0FBNA",7300.0
"074f09199a8f03af47c216c20cee8640823db524","DE00TNS","DE00TRM",4200.0
"0756eb6b716e19ee74f85641fc3eb404841a7e07","DE0HLFO","DE0HKRF",4800.0
"0759fb99099761946349776263a9085118c0b575","DE0EWGO","DE95709",8500.0
"075b5d51c13488e281d275b239026ca6f887a335","DE0TURB","DE0TMON",3500.0
"075ff331b842cc0f881b70dc9df4613651986fbe","DE00FLY","DE0FSGH",5200.0
"0777235f291b842fd3e6beb0f21b52834b7a9a61","DE0KRBA","DE0KODE",5500.0
"079efae5355eb885661bfc931f1ac29ff155e778","DE0TXOH","DE00TSK",1300.0
"07a290f3be42b340548b3bf6aa07be3ffff3ac9f","DE00SRO","DE96694",100.0
"07ae6bb72e213da2611a2f8dff01d8916a2da941","DE00NRH","DE95693",3100.0
"07b11e3d3c6c6112943e03b0d95a380aa2d1e32d","DE95867","DE0NPUE",11400.0
"07ce408da2ed96133a9736a930f39e93186cd454","DE0KIMI","DE0KOPL",7700.0
"07da39acc0a2499ed9e3cfa69b3dfbac99a5a37b","DE0NESB","DE0NMER",1600.0
"07df6fc204f30f45c14de962fc81385d5aa6ef3b","DE00AVL","DE0ANEB",1100.0
"07e8af81d61ea0d65216cac4e8a45ef2b55cb025","DE0MMNG","DE0MISD",3200.0
"07f1edf1c517f331eacbd20ca351be32328b5ef1","DE97041","DE95168",4800.0
"07f2cfffe3138f4e1b9711e8e2fae8f3a0bdf684","DE0NSAI","DE00NRP",2300.0
"08001352ff3d0bc4cdde80f7983fbcd98395edf4","DE00KKM","DE96394",800.0
"08197e5f054450f38f6db526a91ff6622c535cda","DE96312","DE0KKDZ",0.0
"0843b7213a38b092c63e65dc236d4875825e0711","DERWRTL","DE0RWRT",600.0
"0847feb65961c84dea788d9a05ba547c438fb39e","DE97872","DE97926",0.0
"084abc1e874360a0efc46fa000df61b7e241a81a","DE0FGHM","DE0FBBM",3200.0
"08520749cb7998721d618fb85abf37883175bd0f","DE0FSTE","DE97054",4300.0
"085a5446961b5dcca8d58855f526571cb108472f","DE96783","DE96780",1400.0
"08626425714ddb64bad48b8087457f23b9f54772","DE0FECH","DE0FHTN",1800.0
"08687bcbce74071925e434bff6eb8ce356a573ba","DE0KKEZ","DE00KKP",400.0
"08729b46e54b65bbb1989059438b63c302d0d1f3","DE0FSLB","DE0FNMI",4000.0
"0875cf6c6d4a276cbcfaaf46663624f6610cea12","DE00NOH","DE00NEE",12600.0
"087d41e9bb8f43fc6e39a2022ee5d5cb725679b0","DE0TALL","DE00TEH",5300.0
"087e72f861fa8185f7d7cd57451935762263dfd5","DE0EOBR","DE95916",100.0
"087e7f6694d010f8fa41d6e012fa2a07218f692b","DE0MATH","DE0MAHN",5000.0
"088099c1d7441cff762f8b19c3dea15473761e80","DE0EHAT","DE0EHTM",800.0
"088914e3645e44be542eb2fb739f66675def5922","DE00FCG","DE0FSON",7800.0
"08938e0ec22ce6fa7bdda7463ac3d078915e7c01","DE97695","DE00NWK",400.0
"089bedeebad842d44867d94c4375d77d1cf100fe","DE000RR","DE97190",5200.0
"08a024c0eb33a589f52556693b3b6c4524341c05","DE0MGHD","DE00MKZ",3700.0
"08a1078139684c8db4968a26bc3205ea2b1f4919","DE98024","DE98023",5200.0
"08a32e26545f05cf631d53c29ffd1bd009cd5280","DE0MAGD","DE0MHHM",2100.0
"08a6cb01e8e8d9532296548dd1db632877e693df","DE0FFBS","DE0FFBK",1700.0
"08b853bfc0f91292d7679dc628d825d48b8481db","DE00NBA","DE0NHAL",1000.0
"08ba245eeedd5ec8cd6f5d42b83e3bff056a22e8","DE0KKRO","DE0KKRL",1700.0
"08c4142a9fab86a69e1265934ff57dbbcda88d57","DE00MDT","DE0MMDL",11300.0
"08dcd98ec3e59630c5d4e74b38db2c2a248d8899","DE0MKUN","DE0MDKS",8400.0
"08eeb3116fffcc0a0f075fba3d8383756d6d4121","DE0FNIJ","DE0FNIA",2700.0
"08fb25be59c9c052b243f347c538eedb5e764ea7","DE0RBZE","DE00RWA",1500.0
"08fe9a8269ac8c02ac8628e5602db848fef1b719","DE0FDOH","DE96896",3900.0
"08fed3e0ff8ec2d85ada220cb41c6e2b2ded5739","DE00MMT","DE97838",1500.0
"09028055379392dc267ca5d44fa574d8613abd33","DE95577","DE97824",0.0
"0922a18e90204b91f3390f5041d74fbfd4db6930","DE00RHZ","DE00RKN",3300.0
"0927fab68b1c151c0ed153a4d56bdcdaccd30ae3","DE0FLIN","DE0FGBG",2900.0
"093872353ab172ed684a3daf8670e36a75fe066a","DE0MGIF","DE00MFG",1100.0
"093a92f3c5bf01e393ac98666aa5a067046f37f6","DE0RBRP","DE0RBMT",2000.0
"0944f2fa46cb2b939ffa1c0bd0ca084bbfd639fc","DE0REBR","DE0RSAL",1300.0
"0948d77da2d77818148123cb430a89a054e4cf53","DE0EHGW","DE96071",1400.0
"09522257d3b212d178b16283607c1d70c28bc2ba","DE97450","DE0TTUG",2200.0
"09658bec4542a7ead8041deac9ba76152a3ce7ef","DE0KOWI","DE96285",4500.0
"09727d0ec283e9a6545e575631a42f12b213e9e6","DE00SKI","DE00SLB",4800.0
"0973412ddf9e6de3937076bb471ac7e18c627748","DE0TOBB","DE00TNU",3000.0
